"SaleID","SaleDate","CustomerID","SaleAmount","InvoiceSentDate","EmailFollowUpDate","PhoneCallFollow-UpDate","CollectionDate","WriteOffDate","BestCollectionApproach"
"S5178",2022-10-07,"C001",602.760009765625,2022-10-08,2022-10-17,2022-10-27,2022-12-21,NA,NA
"S5220",2022-10-17,"C001",612.940002441406,2022-10-18,2022-10-27,2022-11-06,2022-12-01,NA,NA
"S5264",2022-11-01,"C001",868.25,2022-11-02,2022-11-11,2022-11-21,2022-12-21,NA,NA
"S5439",2023-01-06,"C001",181.009994506836,2023-01-07,2023-01-16,2023-01-26,2023-02-13,NA,NA
"S5567",2023-02-26,"C001",270.529998779297,2023-02-27,2023-03-08,2023-03-18,NA,2023-06-26,NA
"S5613",2023-03-15,"C001",218.229995727539,2023-03-16,2023-03-25,2023-04-04,2023-04-28,NA,NA
"S5694",2023-04-09,"C001",111.099998474121,2023-04-10,2023-04-19,2023-04-29,2023-05-11,NA,NA
"S5878",2023-06-15,"C001",1052.69995117188,2023-06-16,2023-06-25,2023-07-05,2023-08-17,NA,NA
"S5907",2023-06-26,"C001",479.940002441406,2023-06-27,2023-07-06,2023-07-16,2023-08-27,NA,NA
"S5908",2023-06-26,"C001",460.660003662109,2023-06-27,2023-07-06,2023-07-16,2023-09-12,NA,NA
"S5927",2023-07-05,"C001",977.830017089844,2023-07-06,2023-07-15,2023-07-25,2023-09-09,NA,NA
"S5984",2023-07-24,"C001",831.380004882812,2023-07-25,2023-08-03,2023-08-13,2023-10-01,NA,NA
"S5992",2023-07-26,"C001",1028.43994140625,2023-07-27,2023-08-05,2023-08-15,2023-10-06,NA,NA
"S6040",2023-08-15,"C001",298.359985351562,2023-08-16,2023-08-25,2023-09-04,2023-10-04,NA,NA
"S6080",2023-09-02,"C001",546.22998046875,2023-09-03,2023-09-12,2023-09-22,NA,2023-12-31,NA
"S6103",2023-09-09,"C001",452.730010986328,2023-09-10,2023-09-19,2023-09-29,NA,2024-01-07,NA
"S6196",2023-10-12,"C001",215.770004272461,2023-10-13,2023-10-22,2023-11-01,2023-11-26,NA,NA
"S6247",2023-10-28,"C001",596.039978027344,2023-10-29,2023-11-07,2023-11-17,2023-12-22,NA,NA
"S6429",2024-01-03,"C001",619.179992675781,2024-01-04,2024-01-13,2024-01-23,2024-01-31,NA,NA
"S6480",2024-01-20,"C001",545.799987792969,2024-01-21,2024-01-30,2024-02-09,2024-02-26,NA,NA
"S6495",2024-01-26,"C001",244.589996337891,2024-01-27,2024-02-05,2024-02-15,2024-04-08,NA,NA
"S6536",2024-02-13,"C001",971.890014648438,2024-02-14,2024-02-23,2024-03-04,2024-03-30,NA,NA
"S6577",2024-02-23,"C001",896.869995117188,2024-02-24,2024-03-04,2024-03-14,2024-04-25,NA,NA
"S6838",2024-06-09,"C001",193.589996337891,2024-06-10,2024-06-19,2024-06-29,2024-08-26,NA,NA
"S6886",2024-06-26,"C001",916.289978027344,2024-06-27,2024-07-06,2024-07-16,2024-09-02,NA,NA
"S6905",2024-07-04,"C001",485.450012207031,2024-07-05,2024-07-14,2024-07-24,2024-08-29,NA,NA
"S6975",2024-07-28,"C001",370.880004882812,2024-07-29,2024-08-07,2024-08-17,2024-09-26,NA,NA
"S7080",2024-09-11,"C001",944.330017089844,2024-09-12,2024-09-21,2024-10-01,NA,2025-01-09,NA
"S7375",2024-12-17,"C001",885.5,2024-12-18,2024-12-27,2025-01-06,2025-01-30,NA,NA
"S3659",2021-04-02,"C002",996.549987792969,2021-04-03,2021-04-12,2021-04-22,2021-06-03,NA,NA
"S4251",2021-10-26,"C002",776.440002441406,2021-10-27,2021-11-05,2021-11-15,2021-12-15,NA,NA
"S4306",2021-11-17,"C002",939.469970703125,2021-11-18,2021-11-27,2021-12-07,NA,2022-03-17,NA
"S4323",2021-11-22,"C002",131.940002441406,2021-11-23,2021-12-02,2021-12-12,2022-02-09,NA,NA
"S4442",2022-01-10,"C002",708.330017089844,2022-01-11,2022-01-20,2022-01-30,2022-02-09,NA,NA
"S4510",2022-02-04,"C002",390.640014648438,2022-02-05,2022-02-14,2022-02-24,NA,2022-06-04,NA
"S4646",2022-03-23,"C002",188.899993896484,2022-03-24,2022-04-02,2022-04-12,2022-05-26,NA,NA
"S4683",2022-04-05,"C002",1027.68005371094,2022-04-06,2022-04-15,2022-04-25,2022-05-15,NA,NA
"S4685",2022-04-06,"C002",459.959991455078,2022-04-07,2022-04-16,2022-04-26,2022-05-24,NA,NA
"S4738",2022-04-24,"C002",337.109985351562,2022-04-25,2022-05-04,2022-05-14,2022-06-09,NA,NA
"S4763",2022-05-04,"C002",975,2022-05-05,2022-05-14,2022-05-24,2022-06-30,NA,NA
"S4801",2022-05-18,"C002",972.460021972656,2022-05-19,2022-05-28,2022-06-07,2022-07-18,NA,NA
"S4937",2022-07-07,"C002",130.289993286133,2022-07-08,2022-07-17,2022-07-27,2022-08-31,NA,NA
"S5068",2022-08-28,"C002",794.090026855469,2022-08-29,2022-09-07,2022-09-17,2022-09-28,NA,NA
"S5215",2022-10-15,"C002",226.929992675781,2022-10-16,2022-10-25,2022-11-04,2022-11-29,NA,NA
"S5282",2022-11-10,"C002",326.980010986328,2022-11-11,2022-11-20,2022-11-30,2023-01-18,NA,NA
"S5349",2022-12-08,"C002",982.559997558594,2022-12-09,2022-12-18,2022-12-28,2023-02-10,NA,NA
"S5363",2022-12-11,"C002",798.859985351562,2022-12-12,2022-12-21,2022-12-31,2023-01-23,NA,NA
"S5481",2023-01-20,"C002",535.429992675781,2023-01-21,2023-01-30,2023-02-09,2023-03-12,NA,NA
"S5588",2023-03-05,"C002",347.809997558594,2023-03-06,2023-03-15,2023-03-25,2023-05-16,NA,NA
"S5671",2023-04-03,"C002",259.609985351562,2023-04-04,2023-04-13,2023-04-23,2023-06-11,NA,NA
"S5726",2023-04-17,"C002",817.419982910156,2023-04-18,2023-04-27,2023-05-07,2023-05-21,NA,NA
"S5986",2023-07-24,"C002",500.089996337891,2023-07-25,2023-08-03,2023-08-13,2023-09-03,NA,NA
"S5994",2023-07-26,"C002",166.979995727539,2023-07-27,2023-08-05,2023-08-15,2023-09-21,NA,NA
"S6015",2023-08-05,"C002",514.150024414062,2023-08-06,2023-08-15,2023-08-25,2023-09-30,NA,NA
"S6046",2023-08-16,"C002",442.440002441406,2023-08-17,2023-08-26,2023-09-05,2023-10-23,NA,NA
"S6153",2023-09-27,"C002",420.690002441406,2023-09-28,2023-10-07,2023-10-17,2023-11-24,NA,NA
"S6335",2023-12-01,"C002",835.830017089844,2023-12-02,2023-12-11,2023-12-21,NA,2024-03-30,NA
"S6404",2023-12-21,"C002",214.710006713867,2023-12-22,2023-12-31,2024-01-10,2024-02-28,NA,NA
"S6450",2024-01-10,"C002",106.629997253418,2024-01-11,2024-01-20,2024-01-30,2024-03-11,NA,NA
"S6468",2024-01-17,"C002",381.260009765625,2024-01-18,2024-01-27,2024-02-06,2024-02-18,NA,NA
"S6481",2024-01-20,"C002",852.02001953125,2024-01-21,2024-01-30,2024-02-09,2024-03-06,NA,NA
"S6665",2024-04-02,"C002",698.219970703125,2024-04-03,2024-04-12,2024-04-22,2024-05-01,NA,NA
"S6699",2024-04-15,"C002",914.619995117188,2024-04-16,2024-04-25,2024-05-05,2024-06-11,NA,NA
"S6804",2024-05-25,"C002",308.480010986328,2024-05-26,2024-06-04,2024-06-14,2024-06-30,NA,NA
"S6833",2024-06-08,"C002",737.27001953125,2024-06-09,2024-06-18,2024-06-28,2024-08-14,NA,NA
"S6988",2024-08-02,"C002",1024.63000488281,2024-08-03,2024-08-12,2024-08-22,2024-09-13,NA,NA
"S7110",2024-09-19,"C002",592.109985351562,2024-09-20,2024-09-29,2024-10-09,2024-11-24,NA,NA
"S7136",2024-09-28,"C002",142.919998168945,2024-09-29,2024-10-08,2024-10-18,2024-12-02,NA,NA
"S7269",2024-11-13,"C002",122.730003356934,2024-11-14,2024-11-23,2024-12-03,2025-01-02,NA,NA
"S7328",2024-12-03,"C002",936.739990234375,2024-12-04,2024-12-13,2024-12-23,2025-01-30,NA,NA
"S3503",2021-02-02,"C003",476.690002441406,2021-02-03,2021-02-12,2021-02-22,2021-03-25,NA,NA
"S3582",2021-03-03,"C003",448.309997558594,2021-03-04,2021-03-13,2021-03-23,2021-04-02,NA,NA
"S3700",2021-04-17,"C003",158.919998168945,2021-04-18,2021-04-27,2021-05-07,2021-06-09,NA,NA
"S3814",2021-06-02,"C003",398.489990234375,2021-06-03,2021-06-12,2021-06-22,2021-07-11,NA,NA
"S3845",2021-06-09,"C003",122.349998474121,2021-06-10,2021-06-19,2021-06-29,2021-08-10,NA,NA
"S3909",2021-06-27,"C003",885.080017089844,2021-06-28,2021-07-07,2021-07-17,2021-08-21,NA,NA
"S4061",2021-08-21,"C003",637.950012207031,2021-08-22,2021-08-31,2021-09-10,2021-10-03,NA,NA
"S4289",2021-11-11,"C003",822.409973144531,2021-11-12,2021-11-21,2021-12-01,2021-12-29,NA,NA
"S4301",2021-11-16,"C003",640.450012207031,2021-11-17,2021-11-26,2021-12-06,2022-02-02,NA,NA
"S4330",2021-11-25,"C003",1031.97998046875,2021-11-26,2021-12-05,2021-12-15,2022-02-02,NA,NA
"S4340",2021-11-28,"C003",318.549987792969,2021-11-29,2021-12-08,2021-12-18,2022-01-13,NA,NA
"S4679",2022-04-04,"C003",530.02001953125,2022-04-05,2022-04-14,2022-04-24,2022-06-04,NA,NA
"S4691",2022-04-08,"C003",740.75,2022-04-09,2022-04-18,2022-04-28,2022-06-14,NA,NA
"S4765",2022-05-04,"C003",592.200012207031,2022-05-05,2022-05-14,2022-05-24,2022-06-02,NA,NA
"S4826",2022-05-28,"C003",617.619995117188,2022-05-29,2022-06-07,2022-06-17,2022-07-08,NA,NA
"S4926",2022-07-03,"C003",102.209999084473,2022-07-04,2022-07-13,2022-07-23,2022-08-09,NA,NA
"S5137",2022-09-22,"C003",964.210021972656,2022-09-23,2022-10-02,2022-10-12,2022-11-17,NA,NA
"S5199",2022-10-11,"C003",338.850006103516,2022-10-12,2022-10-21,2022-10-31,2022-12-19,NA,NA
"S5291",2022-11-13,"C003",714.049987792969,2022-11-14,2022-11-23,2022-12-03,2022-12-30,NA,NA
"S5310",2022-11-18,"C003",987.210021972656,2022-11-19,2022-11-28,2022-12-08,2023-01-08,NA,NA
"S5328",2022-11-26,"C003",854.619995117188,2022-11-27,2022-12-06,2022-12-16,2023-01-31,NA,NA
"S5362",2022-12-11,"C003",148.410003662109,2022-12-12,2022-12-21,2022-12-31,NA,2023-04-10,NA
"S5461",2023-01-12,"C003",254.25,2023-01-13,2023-01-22,2023-02-01,2023-03-29,NA,NA
"S5580",2023-03-03,"C003",927.72998046875,2023-03-04,2023-03-13,2023-03-23,2023-04-05,NA,NA
"S5903",2023-06-24,"C003",836.940002441406,2023-06-25,2023-07-04,2023-07-14,2023-08-17,NA,NA
"S6126",2023-09-19,"C003",335.890014648438,2023-09-20,2023-09-29,2023-10-09,2023-10-28,NA,NA
"S6164",2023-10-01,"C003",133.320007324219,2023-10-02,2023-10-11,2023-10-21,2023-12-01,NA,NA
"S6306",2023-11-22,"C003",1037.33996582031,2023-11-23,2023-12-02,2023-12-12,2023-12-31,NA,NA
"S6341",2023-12-03,"C003",574.239990234375,2023-12-04,2023-12-13,2023-12-23,2024-01-29,NA,NA
"S6580",2024-02-24,"C003",1016.14001464844,2024-02-25,2024-03-05,2024-03-15,2024-04-10,NA,NA
"S6867",2024-06-18,"C003",695.739990234375,2024-06-19,2024-06-28,2024-07-08,NA,2024-10-16,NA
"S7117",2024-09-21,"C003",392.690002441406,2024-09-22,2024-10-01,2024-10-11,2024-10-26,NA,NA
"S7230",2024-10-28,"C003",1030.33996582031,2024-10-29,2024-11-07,2024-11-17,NA,2025-02-25,NA
"S7235",2024-11-01,"C003",571.22998046875,2024-11-02,2024-11-11,2024-11-21,2025-01-15,NA,NA
"S7289",2024-11-18,"C003",981.590026855469,2024-11-19,2024-11-28,2024-12-08,2025-02-04,NA,NA
"S7354",2024-12-12,"C003",534.260009765625,2024-12-13,2024-12-22,2025-01-01,2025-01-22,NA,NA
"S3425",2021-01-03,"C004",706.210021972656,2021-01-04,2021-01-13,2021-01-23,2021-03-24,NA,NA
"S3477",2021-01-23,"C004",939.02001953125,2021-01-24,2021-02-02,2021-02-12,2021-02-26,NA,NA
"S3494",2021-01-27,"C004",106.080001831055,2021-01-28,2021-02-06,2021-02-16,2021-03-21,NA,NA
"S3686",2021-04-14,"C004",787.349975585938,2021-04-15,2021-04-24,2021-05-04,2021-06-30,NA,NA
"S3849",2021-06-10,"C004",699.22998046875,2021-06-11,2021-06-20,2021-06-30,2021-07-21,NA,NA
"S4038",2021-08-13,"C004",810.330017089844,2021-08-14,2021-08-23,2021-09-02,2021-09-30,NA,NA
"S4317",2021-11-21,"C004",1099.02001953125,2021-11-22,2021-12-01,2021-12-11,2022-01-07,NA,NA
"S4430",2022-01-03,"C004",664.869995117188,2022-01-04,2022-01-13,2022-01-23,2022-02-16,NA,NA
"S4547",2022-02-15,"C004",1033.0400390625,2022-02-16,2022-02-25,2022-03-07,2022-03-25,NA,NA
"S4573",2022-02-28,"C004",1020.11999511719,2022-03-01,2022-03-10,2022-03-20,2022-03-31,NA,NA
"S4857",2022-06-10,"C004",518.330017089844,2022-06-11,2022-06-20,2022-06-30,2022-08-13,NA,NA
"S5318",2022-11-23,"C004",391.739990234375,2022-11-24,2022-12-03,2022-12-13,2023-01-13,NA,NA
"S5336",2022-12-03,"C004",280.760009765625,2022-12-04,2022-12-13,2022-12-23,2023-01-16,NA,NA
"S5357",2022-12-10,"C004",925.22998046875,2022-12-11,2022-12-20,2022-12-30,2023-02-27,NA,NA
"S5371",2022-12-14,"C004",884.059997558594,2022-12-15,2022-12-24,2023-01-03,NA,2023-04-13,NA
"S5462",2023-01-12,"C004",899.369995117188,2023-01-13,2023-01-22,2023-02-01,NA,2023-05-12,NA
"S5476",2023-01-18,"C004",1085.43994140625,2023-01-19,2023-01-28,2023-02-07,NA,2023-05-18,NA
"S5540",2023-02-16,"C004",596.940002441406,2023-02-17,2023-02-26,2023-03-08,2023-03-19,NA,NA
"S5601",2023-03-11,"C004",646.059997558594,2023-03-12,2023-03-21,2023-03-31,2023-04-15,NA,NA
"S5872",2023-06-13,"C004",486.839996337891,2023-06-14,2023-06-23,2023-07-03,2023-08-06,NA,NA
"S5883",2023-06-16,"C004",376.660003662109,2023-06-17,2023-06-26,2023-07-06,2023-08-15,NA,NA
"S5890",2023-06-19,"C004",875.869995117188,2023-06-20,2023-06-29,2023-07-09,2023-09-02,NA,NA
"S5913",2023-07-01,"C004",848.070007324219,2023-07-02,2023-07-11,2023-07-21,2023-08-24,NA,NA
"S5987",2023-07-25,"C004",813.150024414062,2023-07-26,2023-08-04,2023-08-14,2023-09-18,NA,NA
"S6001",2023-07-28,"C004",863.809997558594,2023-07-29,2023-08-07,2023-08-17,2023-08-26,NA,NA
"S6124",2023-09-17,"C004",772.260009765625,2023-09-18,2023-09-27,2023-10-07,2023-11-09,NA,NA
"S6127",2023-09-19,"C004",434.309997558594,2023-09-20,2023-09-29,2023-10-09,2023-12-04,NA,NA
"S6248",2023-10-28,"C004",252.330001831055,2023-10-29,2023-11-07,2023-11-17,2023-11-24,NA,NA
"S6602",2024-03-05,"C004",702.200012207031,2024-03-06,2024-03-15,2024-03-25,2024-05-22,NA,NA
"S6604",2024-03-06,"C004",1053.55004882812,2024-03-07,2024-03-16,2024-03-26,NA,2024-07-04,NA
"S6745",2024-05-01,"C004",1041.27001953125,2024-05-02,2024-05-11,2024-05-21,2024-06-27,NA,NA
"S6826",2024-06-04,"C004",545.580017089844,2024-06-05,2024-06-14,2024-06-24,NA,2024-10-02,NA
"S6997",2024-08-06,"C004",823.669982910156,2024-08-07,2024-08-16,2024-08-26,2024-10-21,NA,NA
"S7051",2024-08-26,"C004",599.539978027344,2024-08-27,2024-09-05,2024-09-15,2024-09-25,NA,NA
"S7120",2024-09-23,"C004",959.109985351562,2024-09-24,2024-10-03,2024-10-13,2024-12-10,NA,NA
"S7233",2024-11-01,"C004",666.349975585938,2024-11-02,2024-11-11,2024-11-21,2024-12-30,NA,NA
"S3750",2021-05-06,"C005",431.359985351562,2021-05-07,2021-05-16,2021-05-26,2021-06-15,NA,NA
"S3762",2021-05-11,"C005",295.309997558594,2021-05-12,2021-05-21,2021-05-31,2021-07-20,NA,NA
"S3805",2021-05-27,"C005",609.080017089844,2021-05-28,2021-06-06,2021-06-16,2021-07-23,NA,NA
"S3908",2021-06-27,"C005",939.150024414062,2021-06-28,2021-07-07,2021-07-17,2021-07-26,NA,NA
"S3971",2021-07-21,"C005",972.030029296875,2021-07-22,2021-07-31,2021-08-10,2021-10-08,NA,NA
"S3988",2021-07-26,"C005",852.940002441406,2021-07-27,2021-08-05,2021-08-15,2021-09-13,NA,NA
"S4066",2021-08-24,"C005",182.320007324219,2021-08-25,2021-09-03,2021-09-13,2021-10-24,NA,NA
"S4142",2021-09-22,"C005",929.200012207031,2021-09-23,2021-10-02,2021-10-12,2021-11-26,NA,NA
"S4183",2021-10-06,"C005",190.580001831055,2021-10-07,2021-10-16,2021-10-26,2021-11-16,NA,NA
"S4305",2021-11-17,"C005",1048.89001464844,2021-11-18,2021-11-27,2021-12-07,NA,2022-03-17,NA
"S4341",2021-12-01,"C005",759.489990234375,2021-12-02,2021-12-11,2021-12-21,2022-01-13,NA,NA
"S4457",2022-01-15,"C005",139.070007324219,2022-01-16,2022-01-25,2022-02-04,NA,2022-05-15,NA
"S4756",2022-05-01,"C005",156.990005493164,2022-05-02,2022-05-11,2022-05-21,2022-06-26,NA,NA
"S4768",2022-05-05,"C005",543.25,2022-05-06,2022-05-15,2022-05-25,2022-07-03,NA,NA
"S4889",2022-06-18,"C005",245.479995727539,2022-06-19,2022-06-28,2022-07-08,2022-09-03,NA,NA
"S4920",2022-06-28,"C005",984.030029296875,2022-06-29,2022-07-08,2022-07-18,2022-08-20,NA,NA
"S4932",2022-07-04,"C005",915,2022-07-05,2022-07-14,2022-07-24,2022-09-16,NA,NA
"S5024",2022-08-10,"C005",409.880004882812,2022-08-11,2022-08-20,2022-08-30,2022-10-06,NA,NA
"S5108",2022-09-13,"C005",196.520004272461,2022-09-14,2022-09-23,2022-10-03,2022-10-16,NA,NA
"S5116",2022-09-16,"C005",305.040008544922,2022-09-17,2022-09-26,2022-10-06,2022-10-12,NA,NA
"S5121",2022-09-17,"C005",730.150024414062,2022-09-18,2022-09-27,2022-10-07,2022-12-06,NA,NA
"S5124",2022-09-18,"C005",341.790008544922,2022-09-19,2022-09-28,2022-10-08,2022-10-18,NA,NA
"S5271",2022-11-05,"C005",927.330017089844,2022-11-06,2022-11-15,2022-11-25,2022-12-07,NA,NA
"S5591",2023-03-06,"C005",756.52001953125,2023-03-07,2023-03-16,2023-03-26,2023-04-22,NA,NA
"S5617",2023-03-17,"C005",954.940002441406,2023-03-18,2023-03-27,2023-04-06,2023-05-21,NA,NA
"S5921",2023-07-04,"C005",1094.35998535156,2023-07-05,2023-07-14,2023-07-24,NA,2023-11-01,NA
"S6022",2023-08-08,"C005",692.489990234375,2023-08-09,2023-08-18,2023-08-28,2023-09-22,NA,NA
"S6146",2023-09-25,"C005",464.910003662109,2023-09-26,2023-10-05,2023-10-15,NA,2024-01-23,NA
"S6251",2023-11-02,"C005",863.440002441406,2023-11-03,2023-11-12,2023-11-22,2024-01-15,NA,NA
"S6279",2023-11-14,"C005",706.97998046875,2023-11-15,2023-11-24,2023-12-04,NA,2024-03-13,NA
"S6376",2023-12-12,"C005",852.940002441406,2023-12-13,2023-12-22,2024-01-01,2024-02-13,NA,NA
"S6380",2023-12-13,"C005",492.679992675781,2023-12-14,2023-12-23,2024-01-02,2024-02-28,NA,NA
"S6648",2024-03-23,"C005",151.919998168945,2024-03-24,2024-04-02,2024-04-12,NA,2024-07-21,NA
"S6919",2024-07-10,"C005",158.160003662109,2024-07-11,2024-07-20,2024-07-30,2024-08-11,NA,NA
"S6963",2024-07-22,"C005",760.159973144531,2024-07-23,2024-08-01,2024-08-11,2024-09-05,NA,NA
"S7071",2024-09-06,"C005",635.5,2024-09-07,2024-09-16,2024-09-26,2024-10-22,NA,NA
"S7093",2024-09-14,"C005",523.489990234375,2024-09-15,2024-09-24,2024-10-04,2024-11-19,NA,NA
"S7145",2024-10-02,"C005",1063.30004882812,2024-10-03,2024-10-12,2024-10-22,2024-11-11,NA,NA
"S7241",2024-11-03,"C005",412.130004882812,2024-11-04,2024-11-13,2024-11-23,2024-12-08,NA,NA
"S7251",2024-11-05,"C005",201.039993286133,2024-11-06,2024-11-15,2024-11-25,2024-12-05,NA,NA
"S7380",2024-12-19,"C005",320.579986572266,2024-12-20,2024-12-29,2025-01-08,2025-03-06,NA,NA
"S3427",2021-01-03,"C006",429.239990234375,2021-01-04,2021-01-13,2021-01-23,2021-02-21,NA,NA
"S3446",2021-01-10,"C006",119.900001525879,2021-01-11,2021-01-20,2021-01-30,2021-03-10,NA,NA
"S3478",2021-01-23,"C006",1011.07000732422,2021-01-24,2021-02-02,2021-02-12,NA,2021-05-23,NA
"S3612",2021-03-12,"C006",816.260009765625,2021-03-13,2021-03-22,2021-04-01,2021-04-16,NA,NA
"S3749",2021-05-06,"C006",489.220001220703,2021-05-07,2021-05-16,2021-05-26,NA,2021-09-03,NA
"S3804",2021-05-27,"C006",456.130004882812,2021-05-28,2021-06-06,2021-06-16,2021-08-11,NA,NA
"S3871",2021-06-16,"C006",993.419982910156,2021-06-17,2021-06-26,2021-07-06,2021-08-28,NA,NA
"S3952",2021-07-14,"C006",702.25,2021-07-15,2021-07-24,2021-08-03,2021-08-09,NA,NA
"S4109",2021-09-13,"C006",860.150024414062,2021-09-14,2021-09-23,2021-10-03,2021-10-29,NA,NA
"S4123",2021-09-17,"C006",476.010009765625,2021-09-18,2021-09-27,2021-10-07,NA,2022-01-15,NA
"S4274",2021-11-05,"C006",515.119995117188,2021-11-06,2021-11-15,2021-11-25,2022-01-09,NA,NA
"S4433",2022-01-05,"C006",810.25,2022-01-06,2022-01-15,2022-01-25,2022-02-26,NA,NA
"S4586",2022-03-04,"C006",1039.14001464844,2022-03-05,2022-03-14,2022-03-24,2022-04-02,NA,NA
"S4791",2022-05-16,"C006",554.739990234375,2022-05-17,2022-05-26,2022-06-05,2022-06-20,NA,NA
"S4912",2022-06-26,"C006",898.869995117188,2022-06-27,2022-07-06,2022-07-16,2022-08-12,NA,NA
"S4915",2022-06-26,"C006",562.219970703125,2022-06-27,2022-07-06,2022-07-16,2022-07-27,NA,NA
"S4927",2022-07-03,"C006",323.959991455078,2022-07-04,2022-07-13,2022-07-23,2022-09-02,NA,NA
"S4943",2022-07-10,"C006",807.340026855469,2022-07-11,2022-07-20,2022-07-30,2022-09-23,NA,NA
"S4971",2022-07-22,"C006",753.080017089844,2022-07-23,2022-08-01,2022-08-11,2022-10-06,NA,NA
"S5105",2022-09-12,"C006",743.489990234375,2022-09-13,2022-09-22,2022-10-02,2022-10-08,NA,NA
"S5159",2022-10-01,"C006",874.619995117188,2022-10-02,2022-10-11,2022-10-21,2022-11-24,NA,NA
"S5223",2022-10-17,"C006",789.559997558594,2022-10-18,2022-10-27,2022-11-06,2023-01-04,NA,NA
"S5259",2022-11-01,"C006",784.340026855469,2022-11-02,2022-11-11,2022-11-21,2022-12-11,NA,NA
"S5380",2022-12-16,"C006",863.75,2022-12-17,2022-12-26,2023-01-05,2023-01-19,NA,NA
"S5387",2022-12-19,"C006",614.340026855469,2022-12-20,2022-12-29,2023-01-08,2023-02-16,NA,NA
"S5484",2023-01-24,"C006",632.309997558594,2023-01-25,2023-02-03,2023-02-13,2023-04-12,NA,NA
"S5622",2023-03-18,"C006",1006.40002441406,2023-03-19,2023-03-28,2023-04-07,2023-05-27,NA,NA
"S5639",2023-03-23,"C006",671.219970703125,2023-03-24,2023-04-02,2023-04-12,2023-06-05,NA,NA
"S5773",2023-05-05,"C006",878.890014648438,2023-05-06,2023-05-15,2023-05-25,2023-06-13,NA,NA
"S5775",2023-05-07,"C006",389.25,2023-05-08,2023-05-17,2023-05-27,2023-07-06,NA,NA
"S5885",2023-06-17,"C006",1006.55999755859,2023-06-18,2023-06-27,2023-07-07,2023-07-31,NA,NA
"S6167",2023-10-02,"C006",335.010009765625,2023-10-03,2023-10-12,2023-10-22,2023-11-17,NA,NA
"S6310",2023-11-23,"C006",1010.47998046875,2023-11-24,2023-12-03,2023-12-13,2024-01-22,NA,NA
"S6313",2023-11-24,"C006",657.830017089844,2023-11-25,2023-12-04,2023-12-14,2024-01-28,NA,NA
"S6433",2024-01-06,"C006",675,2024-01-07,2024-01-16,2024-01-26,NA,2024-05-05,NA
"S6453",2024-01-11,"C006",405,2024-01-12,2024-01-21,2024-01-31,NA,2024-05-10,NA
"S6550",2024-02-16,"C006",995.780029296875,2024-02-17,2024-02-26,2024-03-07,2024-04-17,NA,NA
"S6736",2024-04-27,"C006",643.52001953125,2024-04-28,2024-05-07,2024-05-17,2024-06-17,NA,NA
"S6760",2024-05-06,"C006",214.490005493164,2024-05-07,2024-05-16,2024-05-26,2024-06-29,NA,NA
"S6770",2024-05-08,"C006",920.200012207031,2024-05-09,2024-05-18,2024-05-28,2024-07-07,NA,NA
"S6853",2024-06-14,"C006",775.77001953125,2024-06-15,2024-06-24,2024-07-04,2024-08-26,NA,NA
"S7199",2024-10-19,"C006",495.799987792969,2024-10-20,2024-10-29,2024-11-08,2024-12-13,NA,NA
"S7250",2024-11-05,"C006",793.909973144531,2024-11-06,2024-11-15,2024-11-25,NA,2025-03-05,NA
"S7341",2024-12-07,"C006",419.470001220703,2024-12-08,2024-12-17,2024-12-27,2025-01-31,NA,NA
